"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.2,0,0,0,0,2,1,1,0,4,1549,0.0025823111684958,0.0025823111684958
"DF1",0.2,8,9,7,164,127,22,67,91,495,2133,0.232067510548523,0.232067510548523
"DF1",0.2,0,1,0,1,0,0,1,2,5,1614,0.00309789343246592,0.00309789343246592
"DF1",0.2,0,0,0,2,1,0,1,2,6,1341,0.00447427293064877,0.00447427293064877
"DF1",0.2,0,2,0,13,11,6,20,8,60,17140,0.00350058343057176,0.00350058343057176
"DF1",0.2,0,0,0,1,2,0,0,0,3,1952,0.00153688524590164,0.00153688524590164
"DF1",0.2,0,0,2,2,0,3,0,5,12,2416,0.00496688741721854,0.00496688741721854
"DF1",0.2,0,0,0,0,2,0,1,3,6,1288,0.0046583850931677,0.0046583850931677
"DF1",0.2,0,0,1,8,8,1,10,3,31,5568,0.00556752873563218,0.00556752873563218
"DF1",0.2,1,0,0,0,0,3,0,1,5,1733,0.00288517022504328,0.00288517022504328
"DF1",0.2,0,0,0,1,0,1,1,3,6,1800,0.00333333333333333,0.00333333333333333
"DF1",0.2,0,0,0,1,1,0,0,0,2,1248,0.0016025641025641,0.0016025641025641
"DF1",0.2,2,1,0,1,2,0,0,2,8,867,0.00922722029988466,0.00922722029988466
"DF1",0.2,0,1,0,0,0,0,0,4,5,1960,0.00255102040816327,0.00255102040816327
"DF1",0.2,0,0,0,0,0,0,0,1,1,708,0.00141242937853107,0.00141242937853107
"DF1",0.2,0,0,0,18,13,11,11,14,67,16070,0.00416925948973242,0.00416925948973242
"DF1",0.2,0,5,1,19,16,8,14,29,92,799,0.11514392991239,0.11514392991239
"DF1",0.2,0,0,0,0,0,0,2,1,3,1090,0.00275229357798165,0.00275229357798165
"DF1",0.2,1,13,1,2,21,8,18,8,72,950,0.0757894736842105,0.0757894736842105
"DF1",0.2,0,0,1,0,1,0,0,0,2,607,0.00329489291598023,0.00329489291598023
"DF1",0.2,3,6,4,142,71,14,36,61,337,701,0.48074179743224,0.48074179743224
"DF1",0.2,5,8,3,140,44,22,18,56,296,918,0.32244008714597,0.32244008714597
"DF1",0.2,0,0,0,2,0,0,0,1,3,1676,0.00178997613365155,0.00178997613365155
"DF1",0.2,0,2,0,0,0,1,0,0,3,954,0.00314465408805031,0.00314465408805031
"DF1",0.2,0,0,0,3,2,0,3,2,10,2487,0.00402090872537193,0.00402090872537193
"DF1",0.2,0,0,1,0,1,0,0,0,2,881,0.00227014755959137,0.00227014755959137
"DF1",0.2,0,0,2,10,13,6,10,22,63,18845,0.00334306182011144,0.00334306182011144
"DF1",0.2,0,0,0,3,0,1,0,2,6,620,0.00967741935483871,0.00967741935483871
"DF1",0.2,0,0,0,3,4,1,2,1,11,1473,0.00746775288526816,0.00746775288526816
"DF1",0.2,0,0,0,1,0,0,0,2,3,1861,0.0016120365394949,0.0016120365394949
"DF1",0.2,0,0,0,0,1,0,0,0,1,1835,0.000544959128065395,0.000544959128065395
"DF1",0.2,0,0,0,0,0,1,0,1,2,1246,0.00160513643659711,0.00160513643659711
"DF1",0.2,0,0,0,0,2,1,0,1,4,1294,0.00309119010819165,0.00309119010819165
"DF1",0.2,0,2,0,4,5,0,5,5,21,4958,0.00423557886244453,0.00423557886244453
"DF1",0.2,0,0,0,0,2,0,1,1,4,619,0.00646203554119548,0.00646203554119548
"DF1",0.2,0,0,0,1,0,1,1,0,3,1441,0.00208188757807078,0.00208188757807078
"DF1",0.2,0,0,1,2,1,0,1,1,6,1845,0.0032520325203252,0.0032520325203252
"DF1",0.2,0,0,0,0,0,0,0,0,0,1000,0,0
"DF1",0.2,0,0,0,0,0,0,1,1,2,759,0.00263504611330698,0.00263504611330698
"DF1",0.2,0,0,0,0,1,0,0,1,2,750,0.00266666666666667,0.00266666666666667
"DF1",0.2,1,2,0,1,13,0,5,17,39,1256,0.0310509554140127,0.0310509554140127
"DF1",0.2,0,0,0,0,1,1,0,0,2,1029,0.00194363459669582,0.00194363459669582
"DF1",0.2,0,0,0,3,0,0,1,0,4,1098,0.00364298724954463,0.00364298724954463
"DF1",0.2,0,0,0,2,0,0,0,0,2,1859,0.00107584722969338,0.00107584722969338
"DF1",0.2,0,0,0,0,0,0,0,1,1,657,0.0015220700152207,0.0015220700152207
"DF1",0.2,0,0,0,0,2,0,1,2,5,1352,0.00369822485207101,0.00369822485207101
"DF1",0.2,0,0,0,0,1,0,0,1,2,727,0.00275103163686382,0.00275103163686382
"DF1",0.2,0,0,0,3,1,0,0,1,5,1164,0.00429553264604811,0.00429553264604811
"DF1",0.2,0,0,1,5,1,0,1,5,13,2551,0.00509604076832615,0.00509604076832615
"DF1",0.2,0,0,0,4,7,0,3,2,16,3461,0.00462294134643167,0.00462294134643167
"DF1",0.2,0,0,1,0,0,1,1,1,4,2381,0.00167996640067199,0.00167996640067199
"DF1",0.2,1,0,0,0,0,1,0,0,2,1363,0.00146735143066764,0.00146735143066764
"DF1",0.2,0,0,0,0,0,0,0,0,0,815,0,0
"DF1",0.2,1,0,0,0,0,0,2,1,4,831,0.00481347773766546,0.00481347773766546
"DF1",0.2,0,0,0,1,0,0,0,1,2,1738,0.00115074798619102,0.00115074798619102
"DF1",0.2,0,0,0,0,1,0,4,0,5,1031,0.00484966052376334,0.00484966052376334
"DF1",0.2,0,0,0,0,1,0,1,1,3,831,0.0036101083032491,0.0036101083032491
"DF1",0.2,0,2,0,3,2,4,6,2,19,3686,0.00515463917525773,0.00515463917525773
"DF1",0.2,0,0,0,1,2,1,0,0,4,2038,0.00196270853778214,0.00196270853778214
"DF1",0.2,4,15,4,0,44,10,28,34,139,654,0.212538226299694,0.212538226299694
"DF1",0.2,2,0,6,8,18,2,5,8,49,1205,0.0406639004149378,0.0406639004149378
"DF1",0.2,0,0,0,2,1,0,0,0,3,1277,0.00234925606891151,0.00234925606891151
"DF1",0.2,1,4,2,103,59,9,29,63,270,711,0.379746835443038,0.379746835443038
"DF1",0.2,6,5,5,50,33,9,33,1,142,1485,0.0956228956228956,0.0956228956228956
"DF1",0.2,0,0,0,1,0,1,0,0,2,743,0.00269179004037685,0.00269179004037685
"DF1",0.2,0,0,0,1,4,1,3,3,12,2653,0.00452318130418394,0.00452318130418394
"DF1",0.2,0,0,0,0,0,1,0,0,1,691,0.00144717800289436,0.00144717800289436
"DF1",0.2,0,0,0,1,3,0,2,1,7,1203,0.0058187863674148,0.0058187863674148
"DF1",0.2,4,17,3,115,66,39,32,50,326,1316,0.247720364741641,0.247720364741641
"DF1",0.2,1,1,1,57,10,1,11,10,92,716,0.128491620111732,0.128491620111732
"DF1",0.2,0,1,0,12,9,4,3,5,34,7540,0.00450928381962865,0.00450928381962865
"DF1",0.2,0,0,0,0,0,0,0,0,0,885,0,0
"DF1",0.2,0,0,0,1,0,0,1,2,4,2077,0.00192585459797785,0.00192585459797785
"DF1",0.2,0,0,0,0,0,0,1,0,1,852,0.00117370892018779,0.00117370892018779
"DF1",0.2,0,0,0,0,0,0,2,1,3,1083,0.00277008310249307,0.00277008310249307
"DF1",0.2,0,0,0,2,2,0,2,0,6,1293,0.00464037122969838,0.00464037122969838
"DF1",0.2,1,3,0,37,14,2,22,19,98,719,0.136300417246175,0.136300417246175
"DF1",0.2,7,10,9,0,235,53,171,48,533,1049,0.508102955195424,0.508102955195424
"DF1",0.2,0,0,0,1,0,0,0,0,1,731,0.00136798905608755,0.00136798905608755
"DF1",0.2,0,0,0,0,1,1,0,0,2,1170,0.00170940170940171,0.00170940170940171
"DF1",0.2,0,0,0,2,2,2,0,2,8,1492,0.00536193029490617,0.00536193029490617
"DF1",0.2,0,0,0,0,0,0,1,1,2,1977,0.00101163378856854,0.00101163378856854
"DF1",0.2,3,12,5,339,153,26,50,101,689,2354,0.292693288020391,0.292693288020391
"DF1",0.2,0,0,0,7,7,4,10,5,33,9666,0.00341402855369336,0.00341402855369336
