"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.6,0,0,0,0,3,0,0,1,4,31398,0.000127396649468119,1,4,"0",1,0.000127396649468119,4,0.602059991327962,0,0,0,1877,0.0128670615962801,0.000113404936774418
"MDCK",0.6,0,0,0,1,1,0,1,2,5,38570,0.000129634430904848,1,5,"0",1,0.000129634430904848,5,0.698970004336019,0,0,0,1878,0.0175654653876069,0.000113404936774418
"MDCK",0.6,0,0,0,0,1,0,0,2,3,22798,0.000131590490393894,1,3,"0",1,0.000131590490393894,3,0.477121254719662,0,0,0,1879,0.0150890428985,0.000113404936774418
"MDCK",0.6,0,1,1,0,0,0,0,0,2,14883,0.000134381509104347,1,2,"0",1,0.000134381509104347,2,0.301029995663981,0,0,0,1880,0.0212098815203028,0.000113404936774418
"MDCK",0.6,0,0,0,0,1,0,1,1,3,21437,0.000139944954984373,1,3,"0",1,0.000139944954984373,3,0.477121254719662,0,0,0,1881,0.0414003825162103,0.000113404936774418
"MDCK",0.6,0,0,0,1,2,0,2,1,6,42795,0.000140203294777427,1,6,"0",1,0.000140203294777427,6,0.778151250383644,0,0,0,1882,0.00184601004790293,0.000113404936774418
"MDCK",0.6,0,0,1,1,1,0,1,1,5,35017,0.000142787788788303,1,5,"0",1,0.000142787788788303,5,0.698970004336019,0,0,0,1883,0.0184339035325699,0.000113404936774418
"MDCK",0.6,0,0,0,1,0,0,0,1,2,13829,0.000144623617036662,1,2,"0",1,0.000144623617036662,2,0.301029995663981,0,0,0,1884,0.0128570395545591,0.000113404936774418
"MDCK",0.6,1,1,0,0,1,0,0,0,3,20302,0.000147768692739632,1,3,"0",1,0.000147768692739632,3,0.477121254719662,0,0,0,1885,0.0217466259481824,0.000113404936774418
"MDCK",0.6,0,3,1,0,2,0,2,3,11,70508,0.000156010665456402,1,11,"0",1,0.000156010665456402,11,1.04139268515823,0,0,0,1886,0.0557761766986253,0.000113404936774418
"MDCK",0.6,0,2,0,1,3,0,0,1,7,42673,0.000164038150587022,1,7,"0",1,0.000164038150587022,7,0.845098040014257,0,0,0,1887,0.051454720144524,0.000113404936774418
"MDCK",0.6,0,0,0,1,2,0,0,0,3,18096,0.0001657824933687,1,3,"0",1,0.0001657824933687,3,0.477121254719662,0,0,0,1888,0.0106337627889351,0.000113404936774418
"MDCK",0.6,0,1,0,1,0,0,2,3,7,41640,0.000168107588856868,1,7,"0",1,0.000168107588856868,7,0.845098040014257,0,0,0,1889,0.0140249759846302,0.000113404936774418
"MDCK",0.6,0,0,1,0,2,1,0,0,4,23528,0.000170010200612037,1,4,"0",1,0.000170010200612037,4,0.602059991327962,0,0,0,1890,0.0113178219264585,0.000113404936774418
"MDCK",0.6,0,0,0,2,1,1,0,0,4,23304,0.00017164435290079,1,4,"0",1,0.00017164435290079,4,0.602059991327962,0,0,0,1891,0.00961208376244425,0.000113404936774418
"MDCK",0.6,0,0,0,0,6,0,0,0,6,33696,0.000178062678062678,1,6,"0",1,0.000178062678062678,6,0.778151250383644,0,0,0,1892,0.0373931623931624,0.000113404936774418
"MDCK",0.6,0,1,1,0,2,0,0,2,6,33649,0.000178311391126036,1,6,"0",1,0.000178311391126036,6,0.778151250383644,0,0,0,1893,0.00139677256382056,0.000113404936774418
"MDCK",0.6,0,0,0,1,6,0,2,3,12,67278,0.000178364398466066,1,12,"0",1,0.000178364398466066,12,1.07918124604762,0,0,0,1894,0.000297273997443389,0.000113404936774418
"MDCK",0.6,0,0,0,1,3,0,1,0,5,27347,0.000182835411562511,1,5,"0",1,0.000182835411562511,5,0.698970004336019,0,0,0,1895,0.0250667349252204,0.000113404936774418
"MDCK",0.6,0,0,0,0,1,0,0,2,3,16333,0.000183677217902406,1,3,"0",1,0.000183677217902406,3,0.477121254719662,0,0,0,1896,0.00460417559542031,0.000113404936774418
"MDCK",0.6,0,0,0,1,4,0,0,0,5,27066,0.000184733614128427,1,5,"0",1,0.000184733614128427,5,0.698970004336019,0,0,0,1897,0.00575137318653174,0.000113404936774418
"MDCK",0.6,1,0,1,0,0,0,0,2,4,21505,0.000186003255056963,1,4,"0",1,0.000186003255056963,4,0.602059991327962,0,0,0,1898,0.00687282027435473,0.000113404936774418
"MDCK",0.6,1,0,0,1,1,0,0,1,4,21484,0.00018618506795755,1,4,"0",1,0.00018618506795755,4,0.602059991327962,0,0,0,1899,0.000977471606777161,0.000113404936774418
"MDCK",0.6,0,0,0,1,2,0,1,2,6,31677,0.000189411876124633,1,6,"0",1,0.000189411876124633,6,0.778151250383644,0,0,0,1900,0.017331186665404,0.000113404936774418
"MDCK",0.6,0,1,0,2,1,0,1,1,6,31115,0.000192833038727302,1,6,"0",1,0.000192833038727302,6,0.778151250383644,0,0,0,1901,0.0180620279607905,0.000113404936774418
"MDCK",0.6,0,0,0,0,2,0,0,4,6,30767,0.000195014138525043,1,6,"0",1,0.000195014138525043,6,0.778151250383644,0,0,0,1902,0.0113108200344525,0.000113404936774418
"MDCK",0.6,0,0,0,0,2,1,0,1,4,20031,0.000199690479756378,1,4,"0",1,0.000199690479756378,4,0.602059991327962,0,0,0,1903,0.0239794984440784,0.000113404936774418
