"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","VAR","HELPER","HELPER_Segments","WT_Test_Prop","VAR_Test_Prop","WT_Prop","VAR_Prop","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","HELPER_Prop","Purity","Test_Log","Minor_Frac","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.02,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,24,6,116,153,38,33,134,509,3885,0.131016731016731,0.000514800514800515,1,1,507,8,0.5,0.5,0.00196463654223969,0.00196463654223969,0.00392927308447937,0.000514800514800515,2,0.996070726915521,0.5,0.301029995663981,0.150514997831991,0,0,0,29,-0.666666666666667,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,89,53,16,44,38,248,970,0.255670103092783,0.00103092783505155,1,0,247,8,1,0,0.00403225806451613,0,0.00403225806451613,0.00103092783505155,1,0.995967741935484,1,0,0,0,0,0,30,-0.5,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,62,47,27,44,48,238,1467,0.162235855487389,0.000681663258350375,1,0,237,8,1,0,0.00420168067226891,0,0.00420168067226891,0.000681663258350375,1,0.995798319327731,1,0,0,0,0,0,31,0,0.000168154525238337
"DF1",0.02,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,13,4,157,203,81,78,149,698,1903,0.366789280084078,0.00157645822385707,3,0,695,8,1,0,0.00429799426934097,0,0.00429799426934097,0.00157645822385707,3,0.995702005730659,1,0.477121254719662,0,0,0,0,32,2,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,5,17,7,385,168,39,76,93,794,3870,0.205167958656331,0.00103359173126615,1,3,790,8,0.25,0.75,0.00125944584382872,0.00377833753148615,0.00503778337531486,0.00103359173126615,4,0.994962216624685,0.75,0.602059991327962,0.150514997831991,0,0,0,33,0.333333333333333,0.000168154525238337
"DF1",0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,68,48,5,24,48,198,1780,0.11123595505618,0.000561797752808989,1,0,197,8,1,0,0.00505050505050505,0,0.00505050505050505,0.000561797752808989,1,0.994949494949495,1,0,0,0,0,0,34,-0.75,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,85,47,22,17,9,187,796,0.234924623115578,0.00125628140703518,0,1,186,8,0,1,0,0.0053475935828877,0.0053475935828877,0.00125628140703518,1,0.994652406417112,1,0,0,0,0,0,35,0,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,49,27,29,36,33,182,3144,0.0578880407124682,0.000318066157760814,0,1,181,8,0,1,0,0.00549450549450549,0.00549450549450549,0.000318066157760814,1,0.994505494505495,1,0,0,0,0,0,36,0,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,10,1,29,117,24,49,90,326,1668,0.195443645083933,0.00119904076738609,1,1,324,8,0.5,0.5,0.00306748466257669,0.00306748466257669,0.00613496932515337,0.00119904076738609,2,0.993865030674847,0.5,0.301029995663981,0.150514997831991,0,0,0,37,1,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,2,79,66,16,75,48,299,2674,0.111817501869858,0.00074794315632012,1,1,297,8,0.5,0.5,0.00334448160535117,0.00334448160535117,0.00668896321070234,0.00074794315632012,2,0.993311036789298,0.5,0.301029995663981,0.150514997831991,0,0,0,38,0,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,8,1,79,188,67,47,30,425,1480,0.287162162162162,0.00202702702702703,2,1,422,8,0.666666666666667,0.333333333333333,0.00470588235294118,0.00235294117647059,0.00705882352941176,0.00202702702702703,3,0.992941176470588,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,39,0.5,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,4,3,108,57,79,26,67,349,2151,0.162250116225012,0.00139470013947001,0,3,346,8,0,1,0,0.00859598853868195,0.00859598853868195,0.00139470013947001,3,0.991404011461318,1,0.477121254719662,0,0,0,0,40,0,0.000168154525238337
